product_id,vendor_sku,name,description,category,color,material,pattern,price_min,price_max
P0181,V-SHI-0181,Chambray Shirt,Striped Stripes Chambray Chambray Shirt with long sleeves button-down neck,SHIRT,Striped,Chambray,Stripes,399,1499
P0182,V-SHI-0182,Denim Shirt,Striped Printed Chambray Denim Shirt with short sleeves button-down neck,SHIRT,Striped,Chambray,Printed,399,1499
P0183,V-POL-0183,Mesh Polo Shirt,Red Color Block Pique Cotton Mesh Polo Shirt with short sleeves,POLO,Red,Pique Cotton,Color Block,299,999
P0184,V-KUR-0184,Designer Kurta,Yellow Silk Designer Kurta with long sleeves boat neck neck,KURTA,Yellow,Silk,Solid,499,1999
P0185,V-KUR-0185,Festive Kurta,Red Printed Chiffon Festive Kurta with three-quarter sleeves boat neck neck,KURTA,Red,Chiffon,Printed,499,1999
P0186,V-POL-0186,Pique Polo T-Shirt,Navy Color Block Cotton Pique Polo T-Shirt with short sleeves,POLO,Navy,Cotton,Color Block,299,999
P0187,V-DRE-0187,Office Formal Dress,Yellow Geometric Cotton Office Formal Dress with sleeveless sleeves round neck,DRESS,Yellow,Cotton,Geometric,599,1999
P0188,V-SAL-0188,Designer Salwar,Solid Georgette Designer Salwar palazzo fit,SALWAR,Solid,Georgette,Solid,399,1299
P0189,V-SHI-0189,Short Sleeve Shirt,Striped Denim Cotton Short Sleeve Shirt with short sleeves,SHIRT,Striped,Cotton,Denim,399,1499
P0190,V-TOP-0190,Cold Shoulder Top,Navy Striped Cotton Cold Shoulder Top with short sleeves off-shoulder neck,TOP,Navy,Cotton,Striped,299,899
P0191,V-JEA-0191,High Waist Jeans,Light Blue Raw Denim High Waist Jeans slim fit,JEANS,Light Blue,Raw Denim,Solid,799,2499
P0192,V-DRE-0192,Bodycon Party Dress,Floral Printed Georgette Bodycon Party Dress with sleeveless sleeves round neck,DRESS,Floral,Georgette,Printed,599,1999
P0193,V-DRE-0193,Casual Midi Dress,Pink Linen Casual Midi Dress with long sleeves round neck,DRESS,Pink,Linen,Solid,599,1999
P0194,V-POL-0194,Golf Polo Shirt,Red Color Block Pique Cotton Golf Polo Shirt with long sleeves,POLO,Red,Pique Cotton,Color Block,299,999
P0195,V-DRE-0195,Shift Dress,White Geometric Chiffon Shift Dress with short sleeves round neck,DRESS,White,Chiffon,Geometric,599,1999
P0196,V-DRE-0196,Casual Midi Dress,Black Polka Dots Linen Casual Midi Dress with short sleeves square neck,DRESS,Black,Linen,Polka Dots,599,1999
P0197,V-TOP-0197,Asymmetric Top,Red Floral Chiffon Asymmetric Top with bell sleeves sleeves off-shoulder neck,TOP,Red,Chiffon,Floral,299,899
P0198,V-JEA-0198,Stretch Comfort Jeans,Gray Vintage Wash Denim Stretch Comfort Jeans relaxed fit,JEANS,Gray,Denim,Vintage Wash,799,2499
P0199,V-TOP-0199,Blouse Style Top,White Printed Linen Blouse Style Top with bell sleeves sleeves round neck,TOP,White,Linen,Printed,299,899
P0200,V-TSH-0200,Relaxed Fit T-Shirt,Gray Stripes Cotton Blend Relaxed Fit T-Shirt with long sleeves scoop neck,TSHIRT,Gray,Cotton Blend,Stripes,199,799
P0201,V-KUR-0201,Linen Kurta,Printed Floral Cotton Linen Kurta with short sleeves v-neck neck,KURTA,Printed,Cotton,Floral,499,1999
P0202,V-SAL-0202,Ankle Length Salwar,Printed Embroidered Linen Ankle Length Salwar regular fit,SALWAR,Printed,Linen,Embroidered,399,1299
P0203,V-SAL-0203,Traditional Salwar,White Cotton Traditional Salwar wide leg fit,SALWAR,White,Cotton,Solid,399,1299
P0204,V-POL-0204,Embroidered Polo,Red Color Block Performance Fabric Embroidered Polo with long sleeves,POLO,Red,Performance Fabric,Color Block,299,999
P0205,V-SAL-0205,Cotton Salwar,Navy Striped Chiffon Cotton Salwar palazzo fit,SALWAR,Navy,Chiffon,Striped,399,1299
P0206,V-POL-0206,Premium Cotton Polo,Gray Color Block Cotton Premium Cotton Polo with long sleeves,POLO,Gray,Cotton,Color Block,299,999
P0207,V-SAL-0207,Solid Color Salwar,Navy Embroidered Chiffon Solid Color Salwar churidar fit,SALWAR,Navy,Chiffon,Embroidered,399,1299
P0208,V-POL-0208,Business Casual Polo,Gray Embroidered Cotton Business Casual Polo with long sleeves,POLO,Gray,Cotton,Embroidered,299,999
P0209,V-JEA-0209,Regular Fit Jeans,Gray Faded Denim Regular Fit Jeans straight fit,JEANS,Gray,Denim,Faded,799,2499
P0210,V-DRE-0210,Linen Blend Dress,Red Polka Dots Cotton Linen Blend Dress with cap sleeves sleeves off-shoulder neck,DRESS,Red,Cotton,Polka Dots,599,1999
P0211,V-TOP-0211,Asymmetric Top,Printed Striped Linen Asymmetric Top with sleeveless sleeves halter neck,TOP,Printed,Linen,Striped,299,899
P0212,V-POL-0212,Athletic Fit Polo,Green Embroidered Performance Fabric Athletic Fit Polo with short sleeves,POLO,Green,Performance Fabric,Embroidered,299,999
P0213,V-POL-0213,Striped Polo Shirt,Maroon Performance Fabric Striped Polo Shirt with short sleeves,POLO,Maroon,Performance Fabric,Solid,299,999
P0214,V-SHI-0214,Casual Linen Shirt,Striped Denim Cotton Casual Linen Shirt with long sleeves band collar neck,SHIRT,Striped,Cotton,Denim,399,1499
P0215,V-TSH-0215,Striped Casual Tee,Gray Printed Modal Striped Casual Tee with sleeveless sleeves henley neck,TSHIRT,Gray,Modal,Printed,199,799
P0216,V-DRE-0216,A-Line Summer Dress,Navy Printed Crepe A-Line Summer Dress with short sleeves halter neck,DRESS,Navy,Crepe,Printed,599,1999
P0217,V-DRE-0217,A-Line Summer Dress,Green Abstract Polyester A-Line Summer Dress with long sleeves square neck,DRESS,Green,Polyester,Abstract,599,1999
P0218,V-KUR-0218,Anarkali Kurta,Yellow Embroidered Silk Anarkali Kurta with three-quarter sleeves round neck,KURTA,Yellow,Silk,Embroidered,499,1999
P0219,V-KUR-0219,Linen Kurta,Beige Geometric Chiffon Linen Kurta with three-quarter sleeves boat neck neck,KURTA,Beige,Chiffon,Geometric,499,1999
P0220,V-SHI-0220,Striped Business Shirt,Blue Stripes Chambray Striped Business Shirt with short sleeves button-down neck,SHIRT,Blue,Chambray,Stripes,399,1499
P0221,V-DRE-0221,Shift Dress,Pink Floral Chiffon Shift Dress with short sleeves square neck,DRESS,Pink,Chiffon,Floral,599,1999
P0222,V-SAL-0222,Trouser Style Salwar,Navy Chiffon Trouser Style Salwar wide leg fit,SALWAR,Navy,Chiffon,Solid,399,1299
P0223,V-KUR-0223,Cotton Kurta,Green Printed Chiffon Cotton Kurta with short sleeves mandarin neck,KURTA,Green,Chiffon,Printed,499,1999
P0224,V-TOP-0224,Cold Shoulder Top,Black Printed Polyester Cold Shoulder Top with short sleeves off-shoulder neck,TOP,Black,Polyester,Printed,299,899
P0225,V-POL-0225,Business Casual Polo,Blue Stripes Cotton Business Casual Polo with long sleeves,POLO,Blue,Cotton,Stripes,299,999
P0226,V-DRE-0226,Casual Midi Dress,Red Polka Dots Georgette Casual Midi Dress with cap sleeves sleeves round neck,DRESS,Red,Georgette,Polka Dots,599,1999
P0227,V-SAL-0227,Designer Salwar,White Embroidered Linen Designer Salwar wide leg fit,SALWAR,White,Linen,Embroidered,399,1299
P0228,V-JEA-0228,Stretch Comfort Jeans,Gray Vintage Wash Denim Stretch Comfort Jeans relaxed fit,JEANS,Gray,Denim,Vintage Wash,799,2499
P0229,V-TOP-0229,Tunic Top,Printed Floral Linen Tunic Top with bell sleeves sleeves v-neck neck,TOP,Printed,Linen,Floral,299,899
P0230,V-JEA-0230,Vintage Wash Jeans,Gray Denim Vintage Wash Jeans relaxed fit,JEANS,Gray,Denim,Solid,799,2499
P0231,V-POL-0231,Golf Polo Shirt,Green Cotton Golf Polo Shirt with short sleeves,POLO,Green,Cotton,Solid,299,999
P0232,V-TOP-0232,Blouse Style Top,Printed Floral Polyester Blouse Style Top with short sleeves v-neck neck,TOP,Printed,Polyester,Floral,299,899
P0233,V-TOP-0233,Tie-Up Top,Red Cotton Tie-Up Top with bell sleeves sleeves off-shoulder neck,TOP,Red,Cotton,Solid,299,899
P0234,V-JEA-0234,High Waist Jeans,Gray Faded Denim High Waist Jeans relaxed fit,JEANS,Gray,Denim,Faded,799,2499
P0235,V-POL-0235,Golf Polo Shirt,Black Stripes Cotton Blend Golf Polo Shirt with short sleeves,POLO,Black,Cotton Blend,Stripes,299,999
P0236,V-TOP-0236,Bardot Top,Printed Floral Polyester Bardot Top with bell sleeves sleeves round neck,TOP,Printed,Polyester,Floral,299,899
P0237,V-POL-0237,Classic Polo Shirt,Gray Stripes Cotton Blend Classic Polo Shirt with long sleeves,POLO,Gray,Cotton Blend,Stripes,299,999
P0238,V-SHI-0238,Checked Pattern Shirt,White Cotton Blend Checked Pattern Shirt with short sleeves band collar neck,SHIRT,White,Cotton Blend,Solid,399,1499
P0239,V-TOP-0239,Peplum Top,Printed Floral Cotton Peplum Top with short sleeves v-neck neck,TOP,Printed,Cotton,Floral,299,899
P0240,V-DRE-0240,Bodycon Party Dress,Black Geometric Crepe Bodycon Party Dress with sleeveless sleeves v-neck neck,DRESS,Black,Crepe,Geometric,599,1999
P0241,V-SAL-0241,Palazzo Salwar,Printed Embroidered Cotton Palazzo Salwar regular fit,SALWAR,Printed,Cotton,Embroidered,399,1299
P0242,V-TSH-0242,Graphic Print T-Shirt,White Abstract Organic Cotton Graphic Print T-Shirt with long sleeves scoop neck,TSHIRT,White,Organic Cotton,Abstract,199,799
P0243,V-SHI-0243,Relaxed Fit Shirt,Black Cotton Relaxed Fit Shirt with long sleeves,SHIRT,Black,Cotton,Solid,399,1499
P0244,V-POL-0244,Color Block Polo,Black Cotton Blend Color Block Polo with long sleeves,POLO,Black,Cotton Blend,Solid,299,999
P0245,V-DRE-0245,Linen Blend Dress,Green Polka Dots Crepe Linen Blend Dress with long sleeves v-neck neck,DRESS,Green,Crepe,Polka Dots,599,1999
P0246,V-POL-0246,Golf Polo Shirt,White Embroidered Performance Fabric Golf Polo Shirt with short sleeves,POLO,White,Performance Fabric,Embroidered,299,999
P0247,V-JEA-0247,Slim Fit Denim Jeans,Gray Vintage Wash Stretch Denim Slim Fit Denim Jeans relaxed fit,JEANS,Gray,Stretch Denim,Vintage Wash,799,2499
P0248,V-TSH-0248,Ribbed Knit Tee,Red Printed Polyester Ribbed Knit Tee with short sleeves scoop neck,TSHIRT,Red,Polyester,Printed,199,799
P0249,V-SHI-0249,Casual Linen Shirt,Gray Printed Cotton Blend Casual Linen Shirt with long sleeves band collar neck,SHIRT,Gray,Cotton Blend,Printed,399,1499
P0250,V-KUR-0250,Printed Kurta,Printed Embroidered Silk Printed Kurta with three-quarter sleeves mandarin neck,KURTA,Printed,Silk,Embroidered,499,1999
P0251,V-POL-0251,Golf Polo Shirt,Navy Color Block Performance Fabric Golf Polo Shirt with short sleeves,POLO,Navy,Performance Fabric,Color Block,299,999
P0252,V-KUR-0252,Linen Kurta,Red Embroidered Cotton Linen Kurta with long sleeves boat neck neck,KURTA,Red,Cotton,Embroidered,499,1999
P0253,V-SAL-0253,Palazzo Salwar,Beige Striped Georgette Palazzo Salwar regular fit,SALWAR,Beige,Georgette,Striped,399,1299
P0254,V-KUR-0254,Casual Kurta,Green Silk Casual Kurta with short sleeves boat neck neck,KURTA,Green,Silk,Solid,499,1999
P0255,V-KUR-0255,Party Wear Kurta,White Printed Linen Party Wear Kurta with three-quarter sleeves boat neck neck,KURTA,White,Linen,Printed,499,1999
P0256,V-TSH-0256,V-Neck Casual T-Shirt,Gray Abstract Cotton V-Neck Casual T-Shirt with long sleeves scoop neck,TSHIRT,Gray,Cotton,Abstract,199,799
P0257,V-SAL-0257,Wide Leg Salwar,Printed Printed Cotton Wide Leg Salwar wide leg fit,SALWAR,Printed,Cotton,Printed,399,1299
P0258,V-KUR-0258,Straight Cut Kurta,Beige Geometric Silk Straight Cut Kurta with short sleeves mandarin neck,KURTA,Beige,Silk,Geometric,499,1999
P0259,V-SAL-0259,Designer Salwar,Navy Chiffon Designer Salwar regular fit,SALWAR,Navy,Chiffon,Solid,399,1299
P0260,V-DRE-0260,Cocktail Dress,Pink Geometric Linen Cocktail Dress with short sleeves square neck,DRESS,Pink,Linen,Geometric,599,1999
P0261,V-SHI-0261,Relaxed Fit Shirt,Blue Denim Poplin Relaxed Fit Shirt with long sleeves button-down neck,SHIRT,Blue,Poplin,Denim,399,1499
P0262,V-TOP-0262,Cold Shoulder Top,Black Cotton Cold Shoulder Top with bell sleeves sleeves v-neck neck,TOP,Black,Cotton,Solid,299,899
P0263,V-TOP-0263,Peplum Top,Yellow Striped Linen Peplum Top with short sleeves off-shoulder neck,TOP,Yellow,Linen,Striped,299,899
P0264,V-SHI-0264,Oxford Button-Down Shirt,Black Denim Linen Oxford Button-Down Shirt with short sleeves,SHIRT,Black,Linen,Denim,399,1499
P0265,V-JEA-0265,Skinny Fit Jeans,White Denim Skinny Fit Jeans straight fit,JEANS,White,Denim,Solid,799,2499
P0266,V-KUR-0266,Designer Kurta,Blue Geometric Georgette Designer Kurta with short sleeves round neck,KURTA,Blue,Georgette,Geometric,499,1999
P0267,V-SHI-0267,Long Sleeve Casual Shirt,Striped Printed Poplin Long Sleeve Casual Shirt with long sleeves button-down neck,SHIRT,Striped,Poplin,Printed,399,1499
P0268,V-POL-0268,Performance Polo,Navy Color Block Cotton Blend Performance Polo with long sleeves,POLO,Navy,Cotton Blend,Color Block,299,999
P0269,V-DRE-0269,Office Formal Dress,Red Floral Georgette Office Formal Dress with cap sleeves sleeves halter neck,DRESS,Red,Georgette,Floral,599,1999
P0270,V-TSH-0270,Premium Cotton Tee,Navy Printed Modal Premium Cotton Tee with short sleeves v-neck neck,TSHIRT,Navy,Modal,Printed,199,799
P0271,V-KUR-0271,Chikankari Kurta,Red Geometric Linen Chikankari Kurta with long sleeves round neck,KURTA,Red,Linen,Geometric,499,1999
P0272,V-SHI-0272,Checked Pattern Shirt,Black Checks Chambray Checked Pattern Shirt with long sleeves button-down neck,SHIRT,Black,Chambray,Checks,399,1499
P0273,V-POL-0273,Business Casual Polo,Black Stripes Pique Cotton Business Casual Polo with long sleeves,POLO,Black,Pique Cotton,Stripes,299,999
P0274,V-TSH-0274,Premium Cotton Tee,Red Abstract Cotton Premium Cotton Tee with short sleeves henley neck,TSHIRT,Red,Cotton,Abstract,199,799
P0275,V-TSH-0275,Striped Casual Tee,Red Abstract Modal Striped Casual Tee with long sleeves henley neck,TSHIRT,Red,Modal,Abstract,199,799
P0276,V-JEA-0276,Black Denim Jeans,Gray Vintage Wash Stretch Denim Black Denim Jeans bootcut fit,JEANS,Gray,Stretch Denim,Vintage Wash,799,2499
P0277,V-TSH-0277,V-Neck Casual T-Shirt,Green Logo Organic Cotton V-Neck Casual T-Shirt with long sleeves v-neck neck,TSHIRT,Green,Organic Cotton,Logo,199,799
P0278,V-KUR-0278,Casual Kurta,Red Embroidered Linen Casual Kurta with three-quarter sleeves mandarin neck,KURTA,Red,Linen,Embroidered,499,1999
P0279,V-SAL-0279,Palazzo Salwar,Printed Chiffon Palazzo Salwar palazzo fit,SALWAR,Printed,Chiffon,Solid,399,1299
P0280,V-JEA-0280,Distressed Denim Jeans,Gray Vintage Wash Denim Distressed Denim Jeans regular fit,JEANS,Gray,Denim,Vintage Wash,799,2499
P0281,V-POL-0281,Classic Polo Shirt,Red Color Block Cotton Blend Classic Polo Shirt with short sleeves,POLO,Red,Cotton Blend,Color Block,299,999
P0282,V-KUR-0282,Casual Kurta,Pink Printed Chiffon Casual Kurta with long sleeves boat neck neck,KURTA,Pink,Chiffon,Printed,499,1999
P0283,V-TOP-0283,Ruffle Sleeve Top,White Chiffon Ruffle Sleeve Top with bell sleeves sleeves halter neck,TOP,White,Chiffon,Solid,299,899
P0284,V-JEA-0284,Relaxed Fit Jeans,Gray Raw Denim Relaxed Fit Jeans relaxed fit,JEANS,Gray,Raw Denim,Solid,799,2499
P0285,V-TOP-0285,Knot Front Top,Navy Chiffon Knot Front Top with short sleeves halter neck,TOP,Navy,Chiffon,Solid,299,899
P0286,V-DRE-0286,Bodycon Party Dress,White Abstract Georgette Bodycon Party Dress with sleeveless sleeves round neck,DRESS,White,Georgette,Abstract,599,1999
P0287,V-SAL-0287,Cotton Salwar,Beige Embroidered Linen Cotton Salwar regular fit,SALWAR,Beige,Linen,Embroidered,399,1299
P0288,V-SAL-0288,Ankle Length Salwar,Printed Embroidered Georgette Ankle Length Salwar regular fit,SALWAR,Printed,Georgette,Embroidered,399,1299
P0289,V-DRE-0289,Floral Print Maxi Dress,White Printed Crepe Floral Print Maxi Dress with sleeveless sleeves v-neck neck,DRESS,White,Crepe,Printed,599,1999
P0290,V-JEA-0290,Vintage Wash Jeans,White Raw Denim Vintage Wash Jeans slim fit,JEANS,White,Raw Denim,Solid,799,2499
P0291,V-DRE-0291,Chiffon Evening Dress,Green Geometric Chiffon Chiffon Evening Dress with cap sleeves sleeves v-neck neck,DRESS,Green,Chiffon,Geometric,599,1999
P0292,V-DRE-0292,Shift Dress,White Floral Linen Shift Dress with cap sleeves sleeves halter neck,DRESS,White,Linen,Floral,599,1999
P0293,V-SHI-0293,Chambray Shirt,Striped Denim Cotton Blend Chambray Shirt with long sleeves button-down neck,SHIRT,Striped,Cotton Blend,Denim,399,1499
P0294,V-SHI-0294,Denim Shirt,Black Stripes Cotton Denim Shirt with short sleeves band collar neck,SHIRT,Black,Cotton,Stripes,399,1499
P0295,V-SHI-0295,Relaxed Fit Shirt,Striped Printed Cotton Relaxed Fit Shirt with long sleeves button-down neck,SHIRT,Striped,Cotton,Printed,399,1499
P0296,V-JEA-0296,Wide Leg Jeans,Light Blue Vintage Wash Denim Wide Leg Jeans straight fit,JEANS,Light Blue,Denim,Vintage Wash,799,2499
P0297,V-SAL-0297,Palazzo Salwar,Black Linen Palazzo Salwar churidar fit,SALWAR,Black,Linen,Solid,399,1299
P0298,V-TSH-0298,Striped Casual Tee,Green Stripes Cotton Blend Striped Casual Tee with long sleeves v-neck neck,TSHIRT,Green,Cotton Blend,Stripes,199,799
P0299,V-SAL-0299,Ankle Length Salwar,Solid Georgette Ankle Length Salwar churidar fit,SALWAR,Solid,Georgette,Solid,399,1299
P0300,V-JEA-0300,Stretch Comfort Jeans,Dark Blue Vintage Wash Stretch Denim Stretch Comfort Jeans relaxed fit,JEANS,Dark Blue,Stretch Denim,Vintage Wash,799,2499
P0301,V-DRE-0301,Cocktail Dress,White Geometric Linen Cocktail Dress with sleeveless sleeves square neck,DRESS,White,Linen,Geometric,599,1999
P0302,V-TOP-0302,Cold Shoulder Top,Navy Striped Polyester Cold Shoulder Top with sleeveless sleeves off-shoulder neck,TOP,Navy,Polyester,Striped,299,899
P0303,V-SHI-0303,Relaxed Fit Shirt,Checked Printed Linen Relaxed Fit Shirt with long sleeves band collar neck,SHIRT,Checked,Linen,Printed,399,1499
P0304,V-KUR-0304,Party Wear Kurta,Green Chiffon Party Wear Kurta with three-quarter sleeves boat neck neck,KURTA,Green,Chiffon,Solid,499,1999
P0305,V-SAL-0305,Designer Salwar,Beige Linen Designer Salwar palazzo fit,SALWAR,Beige,Linen,Solid,399,1299
P0306,V-POL-0306,Embroidered Polo,Green Color Block Performance Fabric Embroidered Polo with short sleeves,POLO,Green,Performance Fabric,Color Block,299,999
P0307,V-SHI-0307,Flannel Shirt,Blue Cotton Blend Flannel Shirt with short sleeves,SHIRT,Blue,Cotton Blend,Solid,399,1499
P0308,V-TSH-0308,Ribbed Knit Tee,Gray Abstract Modal Ribbed Knit Tee with short sleeves crew neck,TSHIRT,Gray,Modal,Abstract,199,799
P0309,V-POL-0309,Premium Cotton Polo,Maroon Cotton Blend Premium Cotton Polo with short sleeves,POLO,Maroon,Cotton Blend,Solid,299,999
P0310,V-DRE-0310,Sundress with Pockets,Green Abstract Georgette Sundress with Pockets with long sleeves square neck,DRESS,Green,Georgette,Abstract,599,1999
P0311,V-KUR-0311,Anarkali Kurta,Beige Geometric Cotton Anarkali Kurta with short sleeves round neck,KURTA,Beige,Cotton,Geometric,499,1999
P0312,V-DRE-0312,Sundress with Pockets,Black Abstract Polyester Sundress with Pockets with cap sleeves sleeves v-neck neck,DRESS,Black,Polyester,Abstract,599,1999
P0313,V-SHI-0313,Formal Cotton Shirt,Black Denim Cotton Formal Cotton Shirt with short sleeves band collar neck,SHIRT,Black,Cotton,Denim,399,1499
P0314,V-SHI-0314,Denim Shirt,Striped Printed Chambray Denim Shirt with short sleeves button-down neck,SHIRT,Striped,Chambray,Printed,399,1499
P0315,V-TOP-0315,Ruffle Sleeve Top,Printed Polyester Ruffle Sleeve Top with three-quarter sleeves v-neck neck,TOP,Printed,Polyester,Solid,299,899
P0316,V-TOP-0316,Asymmetric Top,Yellow Printed Linen Asymmetric Top with short sleeves off-shoulder neck,TOP,Yellow,Linen,Printed,299,899
P0317,V-SHI-0317,Chambray Shirt,Blue Denim Linen Chambray Shirt with long sleeves band collar neck,SHIRT,Blue,Linen,Denim,399,1499
P0318,V-KUR-0318,Linen Kurta,Beige Printed Silk Linen Kurta with short sleeves boat neck neck,KURTA,Beige,Silk,Printed,499,1999
P0319,V-KUR-0319,Embroidered Kurta,Green Floral Cotton Embroidered Kurta with short sleeves boat neck neck,KURTA,Green,Cotton,Floral,499,1999
P0320,V-SHI-0320,Short Sleeve Shirt,Striped Denim Cotton Blend Short Sleeve Shirt with short sleeves band collar neck,SHIRT,Striped,Cotton Blend,Denim,399,1499
P0321,V-KUR-0321,Chikankari Kurta,White Linen Chikankari Kurta with long sleeves mandarin neck,KURTA,White,Linen,Solid,499,1999
P0322,V-DRE-0322,Sundress with Pockets,Yellow Polka Dots Georgette Sundress with Pockets with sleeveless sleeves round neck,DRESS,Yellow,Georgette,Polka Dots,599,1999
P0323,V-SHI-0323,Short Sleeve Shirt,Blue Checks Chambray Short Sleeve Shirt with short sleeves band collar neck,SHIRT,Blue,Chambray,Checks,399,1499
P0324,V-DRE-0324,Cocktail Dress,White Abstract Georgette Cocktail Dress with cap sleeves sleeves halter neck,DRESS,White,Georgette,Abstract,599,1999
P0325,V-JEA-0325,Relaxed Fit Jeans,Light Blue Raw Denim Relaxed Fit Jeans straight fit,JEANS,Light Blue,Raw Denim,Solid,799,2499
P0326,V-KUR-0326,Linen Kurta,Beige Georgette Linen Kurta with three-quarter sleeves v-neck neck,KURTA,Beige,Georgette,Solid,499,1999
P0327,V-DRE-0327,Casual Midi Dress,Yellow Abstract Chiffon Casual Midi Dress with short sleeves v-neck neck,DRESS,Yellow,Chiffon,Abstract,599,1999
P0328,V-TOP-0328,Peplum Top,Printed Chiffon Peplum Top with bell sleeves sleeves v-neck neck,TOP,Printed,Chiffon,Solid,299,899
P0329,V-SAL-0329,Elastic Waist Salwar,Printed Striped Cotton Elastic Waist Salwar palazzo fit,SALWAR,Printed,Cotton,Striped,399,1299
P0330,V-TSH-0330,Graphic Print T-Shirt,White Abstract Cotton Blend Graphic Print T-Shirt with short sleeves crew neck,TSHIRT,White,Cotton Blend,Abstract,199,799
P0331,V-TSH-0331,Graphic Print T-Shirt,Black Graphic Cotton Blend Graphic Print T-Shirt with short sleeves crew neck,TSHIRT,Black,Cotton Blend,Graphic,199,799
P0332,V-TOP-0332,Crop Top,Red Printed Linen Crop Top with sleeveless sleeves halter neck,TOP,Red,Linen,Printed,299,899
P0333,V-KUR-0333,A-Line Kurta,Yellow Floral Silk A-Line Kurta with short sleeves v-neck neck,KURTA,Yellow,Silk,Floral,499,1999
P0334,V-KUR-0334,Linen Kurta,Yellow Geometric Linen Linen Kurta with short sleeves v-neck neck,KURTA,Yellow,Linen,Geometric,499,1999
P0335,V-TSH-0335,Classic Crew Neck T-Shirt,Yellow Abstract Cotton Blend Classic Crew Neck T-Shirt with sleeveless sleeves henley neck,TSHIRT,Yellow,Cotton Blend,Abstract,199,799
P0336,V-SAL-0336,Printed Salwar,White Embroidered Linen Printed Salwar churidar fit,SALWAR,White,Linen,Embroidered,399,1299
P0337,V-SHI-0337,Checked Pattern Shirt,White Printed Cotton Checked Pattern Shirt with short sleeves,SHIRT,White,Cotton,Printed,399,1499
P0338,V-JEA-0338,Regular Fit Jeans,Light Blue Denim Regular Fit Jeans straight fit,JEANS,Light Blue,Denim,Solid,799,2499
P0339,V-TSH-0339,Relaxed Fit T-Shirt,Green Logo Cotton Relaxed Fit T-Shirt with short sleeves v-neck neck,TSHIRT,Green,Cotton,Logo,199,799
P0340,V-TSH-0340,V-Neck Casual T-Shirt,Red Stripes Modal V-Neck Casual T-Shirt with sleeveless sleeves scoop neck,TSHIRT,Red,Modal,Stripes,199,799
P0341,V-KUR-0341,Embroidered Kurta,Blue Geometric Chiffon Embroidered Kurta with short sleeves boat neck neck,KURTA,Blue,Chiffon,Geometric,499,1999
P0342,V-SHI-0342,Striped Business Shirt,Striped Denim Cotton Striped Business Shirt with short sleeves button-down neck,SHIRT,Striped,Cotton,Denim,399,1499
P0343,V-SAL-0343,Ankle Length Salwar,Black Embroidered Georgette Ankle Length Salwar wide leg fit,SALWAR,Black,Georgette,Embroidered,399,1299
P0344,V-KUR-0344,Chikankari Kurta,Yellow Printed Silk Chikankari Kurta with long sleeves boat neck neck,KURTA,Yellow,Silk,Printed,499,1999
P0345,V-DRE-0345,Office Formal Dress,Blue Floral Crepe Office Formal Dress with sleeveless sleeves v-neck neck,DRESS,Blue,Crepe,Floral,599,1999
P0346,V-TOP-0346,Crop Top,Red Printed Chiffon Crop Top with bell sleeves sleeves v-neck neck,TOP,Red,Chiffon,Printed,299,899
P0347,V-SHI-0347,Checked Pattern Shirt,Checked Cotton Blend Checked Pattern Shirt with long sleeves band collar neck,SHIRT,Checked,Cotton Blend,Solid,399,1499
P0348,V-POL-0348,Business Casual Polo,White Embroidered Pique Cotton Business Casual Polo with long sleeves,POLO,White,Pique Cotton,Embroidered,299,999
P0349,V-POL-0349,Long Sleeve Polo,Maroon Stripes Pique Cotton Long Sleeve Polo with long sleeves,POLO,Maroon,Pique Cotton,Stripes,299,999
P0350,V-TSH-0350,Relaxed Fit T-Shirt,Black Abstract Polyester Relaxed Fit T-Shirt with long sleeves v-neck neck,TSHIRT,Black,Polyester,Abstract,199,799
P0351,V-JEA-0351,High Waist Jeans,Light Blue Distressed Denim High Waist Jeans skinny fit,JEANS,Light Blue,Denim,Distressed,799,2499
P0352,V-TOP-0352,Blouse Style Top,Navy Striped Linen Blouse Style Top with three-quarter sleeves halter neck,TOP,Navy,Linen,Striped,299,899
P0353,V-TOP-0353,Peplum Top,Printed Striped Chiffon Peplum Top with sleeveless sleeves off-shoulder neck,TOP,Printed,Chiffon,Striped,299,899
P0354,V-KUR-0354,A-Line Kurta,Pink Printed Cotton A-Line Kurta with short sleeves mandarin neck,KURTA,Pink,Cotton,Printed,499,1999
P0355,V-SAL-0355,Solid Color Salwar,Navy Embroidered Linen Solid Color Salwar churidar fit,SALWAR,Navy,Linen,Embroidered,399,1299
P0356,V-SAL-0356,Wide Leg Salwar,White Embroidered Linen Wide Leg Salwar palazzo fit,SALWAR,White,Linen,Embroidered,399,1299
P0357,V-TOP-0357,Bardot Top,Red Printed Chiffon Bardot Top with three-quarter sleeves v-neck neck,TOP,Red,Chiffon,Printed,299,899
P0358,V-DRE-0358,Chiffon Evening Dress,Green Floral Linen Chiffon Evening Dress with short sleeves halter neck,DRESS,Green,Linen,Floral,599,1999
P0359,V-TSH-0359,Premium Cotton Tee,White Logo Cotton Premium Cotton Tee with short sleeves v-neck neck,TSHIRT,White,Cotton,Logo,199,799
P0360,V-POL-0360,Golf Polo Shirt,White Stripes Pique Cotton Golf Polo Shirt with long sleeves,POLO,White,Pique Cotton,Stripes,299,999
