YearMonth,StoreID,StoreName,City,ClimateTag,StyleCode,StyleName,Colour,Fit,Fabric,Segment,Family,Class,Brick,ProductGroup,BasePrice,QuantitySold,TotalSales
2024-01,ST10,Store 10,Ahmedabad,Hot & dry,SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,407,610093
2024-08,ST05,Store 5,Kochi,Hot & Humid,GSJ014,Glacier Shield Jacket,Olive,Relaxed,Nylon Blend,Mens,Casual,Top,Jacket,Woven,3999,100,399900
2024-06,ST02,Store 2,Jaipur,"Semi-winter, Festive",UEO543,UrbanEdge Overshirt,Charcoal,Relaxed,Twill,Mens,Casual,Top,Shirt,Woven,1799,422,759178
2024-12,ST05,Store 5,Kochi,Hot & Humid,FAK288,FestiveAura Kurta,Mustard,Straight,Rayon-Silk,Womens,Ethnic,Top,Kurta,Woven,1699,315,535185
2024-06,ST05,Store 5,Kochi,Hot & Humid,GSJ014,Glacier Shield Jacket,Olive,Relaxed,Nylon Blend,Mens,Casual,Top,Jacket,Woven,3999,8,31992
2024-11,ST03,Store 3,Mumbai,"Humid, No winter",HGH112,HeatGuard Hoodie,Black,Oversized,Fleece,Mens,Active,Top,Hoodie,Knit,1899,391,742509
2024-11,ST08,Store 8,Pune,"Mild, fashion-forward",TFC331,TerraFlex Cargo,Khaki,Relaxed,Twill,Mens,Casual,Bottom,Cargo,Woven,1499,437,655063
2024-02,ST06,Store 6,Chennai,"Hot, Tropical",CSC332,CityStride Chinos,Stone,Slim,Cotton,Mens,Formal,Bottom,Trousers,Woven,1599,506,809094
2024-02,ST07,Store 7,Hyderabad,Warm semi-arid,CLS920,Coastline Linen Shirt,Sand,Regular,Linen,Mens,Casual,Top,Shirt,Woven,1899,161,305739
2024-12,ST05,Store 5,Kochi,Hot & Humid,APJ001,Alpine Puffer Jacket,Navy,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3499,368,1287632
2024-11,ST06,Store 6,Chennai,"Hot, Tropical",BSS260,Bedtime Story Set,Baby Blue,Relax,Cotton,Kids,Lounge,Sets,Pyjama Set,Knit,899,468,420732
2024-04,ST06,Store 6,Chennai,"Hot, Tropical",ODS901,OceanWash Denim Shirt,Light Blue,Regular,Denim,Mens,Casual,Top,Shirt,Denim,1499,399,598101
2024-05,ST06,Store 6,Chennai,"Hot, Tropical",BLK212,BreezeLite Kurta,Teal,Straight,Cotton-Linen,Mens,Ethnic,Top,Kurta,Woven,1599,238,380562
2024-11,ST05,Store 5,Kochi,Hot & Humid,SGP880,StormGuard Parka,Deep Green,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3299,376,1240424
2024-01,ST08,Store 8,Pune,"Mild, fashion-forward",CSC332,CityStride Chinos,Stone,Slim,Cotton,Mens,Formal,Bottom,Trousers,Woven,1599,468,748332
2024-12,ST10,Store 10,Ahmedabad,Hot & dry,ADJ660,AllDay Denim Jogger,Dark Blue,Tapered,Denim,Mens,Casual,Bottom,Jogger,Denim,1899,399,757701
2024-11,ST08,Store 8,Pune,"Mild, fashion-forward",ODS901,OceanWash Denim Shirt,Light Blue,Regular,Denim,Mens,Casual,Top,Shirt,Denim,1499,292,437708
2024-01,ST03,Store 3,Mumbai,"Humid, No winter",RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,453,543147
2024-03,ST03,Store 3,Mumbai,"Humid, No winter",CLS920,Coastline Linen Shirt,Sand,Regular,Linen,Mens,Casual,Top,Shirt,Woven,1899,928,1762272
2024-08,ST01,Store 1,Delhi,"Winter-heavy, North",SRS744,Sunset Resort Shirt,Coral,Relaxed,Rayon,Mens,Casual,Top,Shirt,Woven,1299,399,518301
2024-11,ST04,Store 4,Bengaluru,Mild weather,CMH215,ChillMode Hoodie,Bottle Green,Relaxed,Fleece,Mens,Lounge,Top,Hoodie,Knit,1699,844,1433956
2024-12,ST03,Store 3,Mumbai,"Humid, No winter",SBD931,SummerBloom Dress,Peach,Flared,Rayon,Womens,Casual,Top,Dress,Woven,1899,246,467154
2024-09,ST01,Store 1,Delhi,"Winter-heavy, North",BOS120,Boardroom Oxford Shirt,Light Blue,Regular,Oxford Cotton,Mens,Formal,Top,Shirt,Woven,1399,453,633747
2024-12,ST10,Store 10,Ahmedabad,Hot & dry,APJ001,Alpine Puffer Jacket,Navy,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3499,775,2711725
2024-05,ST05,Store 5,Kochi,Hot & Humid,SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,460,689540
2024-12,ST01,Store 1,Delhi,"Winter-heavy, North",BOS120,Boardroom Oxford Shirt,Light Blue,Regular,Oxford Cotton,Mens,Formal,Top,Shirt,Woven,1399,514,719086
2024-03,ST10,Store 10,Ahmedabad,Hot & dry,CWS888,CloudWalk Sneakers,White,Regular,Mesh,Mens,Active,Bottom,Shoes,Other,2499,445,1112055
2024-12,ST06,Store 6,Chennai,"Hot, Tropical",SGP880,StormGuard Parka,Deep Green,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3299,361,1190939
2024-11,ST09,Store 9,Kolkata,Humid + festive,PTD412,Playtime Dungaree,Denim Blue,Regular,Denim,Kids,Casual,Sets,Dungaree,Denim,1299,506,657294
2024-05,ST05,Store 5,Kochi,Hot & Humid,CWS888,CloudWalk Sneakers,White,Regular,Mesh,Mens,Active,Bottom,Shoes,Other,2499,483,1207017
2024-11,ST08,Store 8,Pune,"Mild, fashion-forward",EVT040,Everyday Tank,White,Slim,Cotton,Mens,Active,Top,Vest,Knit,399,215,85785
2024-07,ST01,Store 1,Delhi,"Winter-heavy, North",ALV310,AeroLite Vest,Black,Slim,Poly Blend,Mens,Active,Top,Vest,Knit,499,338,168662
2024-01,ST08,Store 8,Pune,"Mild, fashion-forward",EVT040,Everyday Tank,White,Slim,Cotton,Mens,Active,Top,Vest,Knit,399,207,82593
2024-02,ST05,Store 5,Kochi,Hot & Humid,ALV310,AeroLite Vest,Black,Slim,Poly Blend,Mens,Active,Top,Vest,Knit,499,269,134231
2024-11,ST01,Store 1,Delhi,"Winter-heavy, North",SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,476,713524
2024-10,ST05,Store 5,Kochi,Hot & Humid,BSS260,Bedtime Story Set,Baby Blue,Relax,Cotton,Kids,Lounge,Sets,Pyjama Set,Knit,899,529,475571
2024-11,ST01,Store 1,Delhi,"Winter-heavy, North",SBD931,SummerBloom Dress,Peach,Flared,Rayon,Womens,Casual,Top,Dress,Woven,1899,146,277254
2024-11,ST08,Store 8,Pune,"Mild, fashion-forward",WST661,WinterShield Thermal,Charcoal,Slim,Thermal Cotton,Mens,Active,Top,Thermal,Knit,699,1020,712980
2024-04,ST07,Store 7,Hyderabad,Warm semi-arid,BOS120,Boardroom Oxford Shirt,Light Blue,Regular,Oxford Cotton,Mens,Formal,Top,Shirt,Woven,1399,430,601570
2024-08,ST07,Store 7,Hyderabad,Warm semi-arid,ODS901,OceanWash Denim Shirt,Light Blue,Regular,Denim,Mens,Casual,Top,Shirt,Denim,1499,414,620586
2024-04,ST04,Store 4,Bengaluru,Mild weather,CSC332,CityStride Chinos,Stone,Slim,Cotton,Mens,Formal,Bottom,Trousers,Woven,1599,330,527670
2024-09,ST01,Store 1,Delhi,"Winter-heavy, North",SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,744,1115256
2024-04,ST05,Store 5,Kochi,Hot & Humid,SGP880,StormGuard Parka,Deep Green,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3299,62,204538
2024-11,ST01,Store 1,Delhi,"Winter-heavy, North",MRT210,MorningRun Tee,Neon Green,Athletic,Polyester,Mens,Active,Top,T-Shirt,Knit,899,698,627502
2024-12,ST06,Store 6,Chennai,"Hot, Tropical",SBD931,SummerBloom Dress,Peach,Flared,Rayon,Womens,Casual,Top,Dress,Woven,1899,230,436770
2024-02,ST09,Store 9,Kolkata,Humid + festive,MMD777,Midnight Maxi Dress,Navy,Flared,Viscose,Womens,Casual,Top,Dress,Woven,2199,177,389223
2024-06,ST05,Store 5,Kochi,Hot & Humid,CLS920,Coastline Linen Shirt,Sand,Regular,Linen,Mens,Casual,Top,Shirt,Woven,1899,905,1718595
2024-09,ST09,Store 9,Kolkata,Humid + festive,SRS744,Sunset Resort Shirt,Coral,Relaxed,Rayon,Mens,Casual,Top,Shirt,Woven,1299,399,518301
2024-11,ST09,Store 9,Kolkata,Humid + festive,LSK551,LuxeSilk Kurta Set,Maroon,Straight,Silk Blend,Womens,Ethnic,Sets,Kurta Set,Woven,2199,537,1180863
2024-03,ST01,Store 1,Delhi,"Winter-heavy, North",UEO543,UrbanEdge Overshirt,Charcoal,Relaxed,Twill,Mens,Casual,Top,Shirt,Woven,1799,468,841932
2024-06,ST05,Store 5,Kochi,Hot & Humid,PTD412,Playtime Dungaree,Denim Blue,Regular,Denim,Kids,Casual,Sets,Dungaree,Denim,1299,453,588447
2024-06,ST10,Store 10,Ahmedabad,Hot & dry,BOS120,Boardroom Oxford Shirt,Light Blue,Regular,Oxford Cotton,Mens,Formal,Top,Shirt,Woven,1399,384,537216
2024-04,ST03,Store 3,Mumbai,"Humid, No winter",TFS522,TerraForm Shorts,Beige,Regular,Cotton Twill,Mens,Casual,Bottom,Shorts,Woven,799,859,686341
2024-01,ST02,Store 2,Jaipur,"Semi-winter, Festive",UEO543,UrbanEdge Overshirt,Charcoal,Relaxed,Twill,Mens,Casual,Top,Shirt,Woven,1799,353,635047
2024-12,ST04,Store 4,Bengaluru,Mild weather,ALV310,AeroLite Vest,Black,Slim,Poly Blend,Mens,Active,Top,Vest,Knit,499,200,99800
2024-10,ST02,Store 2,Jaipur,"Semi-winter, Festive",BSS260,Bedtime Story Set,Baby Blue,Relax,Cotton,Kids,Lounge,Sets,Pyjama Set,Knit,899,568,510632
2024-04,ST03,Store 3,Mumbai,"Humid, No winter",HNJ333,Heritage Nehru Jacket,Ivory,Regular,Silk Blend,Mens,Ethnic,Top,Jacket,Woven,2499,338,844662
2024-08,ST03,Store 3,Mumbai,"Humid, No winter",HNJ333,Heritage Nehru Jacket,Ivory,Regular,Silk Blend,Mens,Ethnic,Top,Jacket,Woven,2499,966,2414034
2024-12,ST04,Store 4,Bengaluru,Mild weather,TTP665,TrailBlaze Trackpant,Charcoal,Athletic,Poly Knit,Mens,Active,Bottom,Jogger,Knit,1199,583,699017
2024-11,ST10,Store 10,Ahmedabad,Hot & dry,EVT040,Everyday Tank,White,Slim,Cotton,Mens,Active,Top,Vest,Knit,399,215,85785
2024-10,ST06,Store 6,Chennai,"Hot, Tropical",CLS920,Coastline Linen Shirt,Sand,Regular,Linen,Mens,Casual,Top,Shirt,Woven,1899,545,1034955
2024-07,ST09,Store 9,Kolkata,Humid + festive,ULP019,UltraLite Polo,Sky Blue,Regular,Pique Knit,Mens,Casual,Top,T-Shirt,Knit,899,644,578956
2024-08,ST10,Store 10,Ahmedabad,Hot & dry,TTP665,TrailBlaze Trackpant,Charcoal,Athletic,Poly Knit,Mens,Active,Bottom,Jogger,Knit,1199,537,643863
2024-05,ST03,Store 3,Mumbai,"Humid, No winter",WST661,WinterShield Thermal,Charcoal,Slim,Thermal Cotton,Mens,Active,Top,Thermal,Knit,699,92,64308
2024-02,ST02,Store 2,Jaipur,"Semi-winter, Festive",EVT040,Everyday Tank,White,Slim,Cotton,Mens,Active,Top,Vest,Knit,399,215,85785
2024-10,ST05,Store 5,Kochi,Hot & Humid,CLT612,CloudSoft Lounge Tee,Grey,Comfort,Cotton,Mens,Lounge,Top,T-Shirt,Knit,699,782,546618
2024-06,ST04,Store 4,Bengaluru,Mild weather,BLK212,BreezeLite Kurta,Teal,Straight,Cotton-Linen,Mens,Ethnic,Top,Kurta,Woven,1599,261,417339
2024-06,ST09,Store 9,Kolkata,Humid + festive,WJS555,Weekend Jog Set,Navy,Relaxed,Cotton Blend,Mens,Lounge,Sets,Tracksuit,Knit,1999,698,1395302
2024-03,ST08,Store 8,Pune,"Mild, fashion-forward",CMH215,ChillMode Hoodie,Bottle Green,Relaxed,Fleece,Mens,Lounge,Top,Hoodie,Knit,1699,85,144415
2024-10,ST08,Store 8,Pune,"Mild, fashion-forward",UEO543,UrbanEdge Overshirt,Charcoal,Relaxed,Twill,Mens,Casual,Top,Shirt,Woven,1799,292,525308
2024-05,ST03,Store 3,Mumbai,"Humid, No winter",SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,407,610093
2024-04,ST07,Store 7,Hyderabad,Warm semi-arid,RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,253,303347
2024-06,ST03,Store 3,Mumbai,"Humid, No winter",MMD777,Midnight Maxi Dress,Navy,Flared,Viscose,Womens,Casual,Top,Dress,Woven,2199,966,2124234
2024-06,ST10,Store 10,Ahmedabad,Hot & dry,PTD412,Playtime Dungaree,Denim Blue,Regular,Denim,Kids,Casual,Sets,Dungaree,Denim,1299,384,498816
2024-02,ST05,Store 5,Kochi,Hot & Humid,CMH215,ChillMode Hoodie,Bottle Green,Relaxed,Fleece,Mens,Lounge,Top,Hoodie,Knit,1699,476,808724
2024-05,ST02,Store 2,Jaipur,"Semi-winter, Festive",MMD777,Midnight Maxi Dress,Navy,Flared,Viscose,Womens,Casual,Top,Dress,Woven,2199,407,894993
2024-05,ST02,Store 2,Jaipur,"Semi-winter, Festive",SRS744,Sunset Resort Shirt,Coral,Relaxed,Rayon,Mens,Casual,Top,Shirt,Woven,1299,468,607932
2024-05,ST01,Store 1,Delhi,"Winter-heavy, North",WJS555,Weekend Jog Set,Navy,Relaxed,Cotton Blend,Mens,Lounge,Sets,Tracksuit,Knit,1999,483,965517
2024-06,ST05,Store 5,Kochi,Hot & Humid,APJ001,Alpine Puffer Jacket,Navy,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3499,77,269423
2024-06,ST01,Store 1,Delhi,"Winter-heavy, North",HGH112,HeatGuard Hoodie,Black,Oversized,Fleece,Mens,Active,Top,Hoodie,Knit,1899,246,467154
2024-09,ST03,Store 3,Mumbai,"Humid, No winter",CWS888,CloudWalk Sneakers,White,Regular,Mesh,Mens,Active,Bottom,Shoes,Other,2499,606,1514394
2024-03,ST01,Store 1,Delhi,"Winter-heavy, North",RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,215,257785
2024-07,ST06,Store 6,Chennai,"Hot, Tropical",SKT145,SunSafe Kids Tee,Orange,Comfort,Cotton,Kids,Casual,Top,T-Shirt,Knit,499,675,336825
2024-03,ST05,Store 5,Kochi,Hot & Humid,FSK507,FestiveSpark Kurta,Emerald,Straight,Silk Blend,Mens,Ethnic,Top,Kurta,Woven,1999,215,429785
2024-10,ST10,Store 10,Ahmedabad,Hot & dry,ALV310,AeroLite Vest,Black,Slim,Poly Blend,Mens,Active,Top,Vest,Knit,499,338,168662
2024-01,ST09,Store 9,Kolkata,Humid + festive,CSC332,CityStride Chinos,Stone,Slim,Cotton,Mens,Formal,Bottom,Trousers,Woven,1599,614,981786
2024-03,ST08,Store 8,Pune,"Mild, fashion-forward",SFL909,SparkFest Lehenga Set,Fuchsia,Flared,Silk Blend,Girls,Ethnic,Sets,Lehenga Set,Woven,2799,276,772524
2024-11,ST05,Store 5,Kochi,Hot & Humid,APJ001,Alpine Puffer Jacket,Navy,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3499,368,1287632
2024-04,ST01,Store 1,Delhi,"Winter-heavy, North",HGH112,HeatGuard Hoodie,Black,Oversized,Fleece,Mens,Active,Top,Hoodie,Knit,1899,169,320931
2024-04,ST02,Store 2,Jaipur,"Semi-winter, Festive",TFC331,TerraFlex Cargo,Khaki,Relaxed,Twill,Mens,Casual,Bottom,Cargo,Woven,1499,499,748001
2024-10,ST03,Store 3,Mumbai,"Humid, No winter",RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,414,496386
2024-05,ST04,Store 4,Bengaluru,Mild weather,ALV310,AeroLite Vest,Black,Slim,Poly Blend,Mens,Active,Top,Vest,Knit,499,813,405687
2024-10,ST04,Store 4,Bengaluru,Mild weather,RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,230,275770
2024-09,ST09,Store 9,Kolkata,Humid + festive,DFJ821,Denim Force Jeans,Indigo,Tapered,Denim,Mens,Casual,Bottom,Jeans,Denim,1699,483,820617
2024-09,ST01,Store 1,Delhi,"Winter-heavy, North",SGP880,StormGuard Parka,Deep Green,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3299,422,1392178
2024-07,ST10,Store 10,Ahmedabad,Hot & dry,BLK212,BreezeLite Kurta,Teal,Straight,Cotton-Linen,Mens,Ethnic,Top,Kurta,Woven,1599,261,417339
2024-01,ST08,Store 8,Pune,"Mild, fashion-forward",BSS260,Bedtime Story Set,Baby Blue,Relax,Cotton,Kids,Lounge,Sets,Pyjama Set,Knit,899,491,441409
2024-06,ST08,Store 8,Pune,"Mild, fashion-forward",LSK551,LuxeSilk Kurta Set,Maroon,Straight,Silk Blend,Womens,Ethnic,Sets,Kurta Set,Woven,2199,292,642108
2024-09,ST10,Store 10,Ahmedabad,Hot & dry,CSC332,CityStride Chinos,Stone,Slim,Cotton,Mens,Formal,Bottom,Trousers,Woven,1599,391,625209
2024-08,ST10,Store 10,Ahmedabad,Hot & dry,ODS901,OceanWash Denim Shirt,Light Blue,Regular,Denim,Mens,Casual,Top,Shirt,Denim,1499,376,563624
2024-03,ST10,Store 10,Ahmedabad,Hot & dry,SGP880,StormGuard Parka,Deep Green,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3299,85,280415
2024-09,ST09,Store 9,Kolkata,Humid + festive,CLS920,Coastline Linen Shirt,Sand,Regular,Linen,Mens,Casual,Top,Shirt,Woven,1899,414,786186
2024-12,ST10,Store 10,Ahmedabad,Hot & dry,EVT040,Everyday Tank,White,Slim,Cotton,Mens,Active,Top,Vest,Knit,399,177,70623
2024-03,ST07,Store 7,Hyderabad,Warm semi-arid,SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,368,551632
2024-12,ST05,Store 5,Kochi,Hot & Humid,TFC331,TerraFlex Cargo,Khaki,Relaxed,Twill,Mens,Casual,Bottom,Cargo,Woven,1499,330,494670
2024-09,ST07,Store 7,Hyderabad,Warm semi-arid,MSS441,MetroStretch Shirt,White,Slim,Poplin,Mens,Formal,Top,Shirt,Woven,1299,345,448155
2024-07,ST07,Store 7,Hyderabad,Warm semi-arid,UEO543,UrbanEdge Overshirt,Charcoal,Relaxed,Twill,Mens,Casual,Top,Shirt,Woven,1799,384,690816
2024-08,ST05,Store 5,Kochi,Hot & Humid,MSS441,MetroStretch Shirt,White,Slim,Poplin,Mens,Formal,Top,Shirt,Woven,1299,430,558570
2024-08,ST10,Store 10,Ahmedabad,Hot & dry,LSK551,LuxeSilk Kurta Set,Maroon,Straight,Silk Blend,Womens,Ethnic,Sets,Kurta Set,Woven,2199,905,1990095
2024-11,ST09,Store 9,Kolkata,Humid + festive,WJS555,Weekend Jog Set,Navy,Relaxed,Cotton Blend,Mens,Lounge,Sets,Tracksuit,Knit,1999,437,873563
2024-02,ST01,Store 1,Delhi,"Winter-heavy, North",MRT210,MorningRun Tee,Neon Green,Athletic,Polyester,Mens,Active,Top,T-Shirt,Knit,899,506,454894
2024-06,ST05,Store 5,Kochi,Hot & Humid,ALV310,AeroLite Vest,Black,Slim,Poly Blend,Mens,Active,Top,Vest,Knit,499,905,451595
2024-02,ST01,Store 1,Delhi,"Winter-heavy, North",EVT040,Everyday Tank,White,Slim,Cotton,Mens,Active,Top,Vest,Knit,399,253,100947
2024-11,ST07,Store 7,Hyderabad,Warm semi-arid,TFC331,TerraFlex Cargo,Khaki,Relaxed,Twill,Mens,Casual,Bottom,Cargo,Woven,1499,276,413724
2024-11,ST07,Store 7,Hyderabad,Warm semi-arid,TFS522,TerraForm Shorts,Beige,Regular,Cotton Twill,Mens,Casual,Bottom,Shorts,Woven,799,215,171785
2024-08,ST02,Store 2,Jaipur,"Semi-winter, Festive",MRT210,MorningRun Tee,Neon Green,Athletic,Polyester,Mens,Active,Top,T-Shirt,Knit,899,529,475571
2024-01,ST01,Store 1,Delhi,"Winter-heavy, North",FAK288,FestiveAura Kurta,Mustard,Straight,Rayon-Silk,Womens,Ethnic,Top,Kurta,Woven,1699,445,756055
2024-07,ST04,Store 4,Bengaluru,Mild weather,CWS888,CloudWalk Sneakers,White,Regular,Mesh,Mens,Active,Bottom,Shoes,Other,2499,652,1629348
2024-03,ST03,Store 3,Mumbai,"Humid, No winter",BOS120,Boardroom Oxford Shirt,Light Blue,Regular,Oxford Cotton,Mens,Formal,Top,Shirt,Woven,1399,430,601570
2024-01,ST06,Store 6,Chennai,"Hot, Tropical",SKT145,SunSafe Kids Tee,Orange,Comfort,Cotton,Kids,Casual,Top,T-Shirt,Knit,499,384,191616
2024-08,ST08,Store 8,Pune,"Mild, fashion-forward",APJ001,Alpine Puffer Jacket,Navy,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3499,200,699800
2024-01,ST09,Store 9,Kolkata,Humid + festive,SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,476,713524
2024-12,ST02,Store 2,Jaipur,"Semi-winter, Festive",UEO543,UrbanEdge Overshirt,Charcoal,Relaxed,Twill,Mens,Casual,Top,Shirt,Woven,1799,399,717801
2024-09,ST07,Store 7,Hyderabad,Warm semi-arid,SGP880,StormGuard Parka,Deep Green,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3299,207,682893
2024-09,ST03,Store 3,Mumbai,"Humid, No winter",FSK507,FestiveSpark Kurta,Emerald,Straight,Silk Blend,Mens,Ethnic,Top,Kurta,Woven,1999,844,1687156
2024-10,ST02,Store 2,Jaipur,"Semi-winter, Festive",MGJ720,MonsoonGuard Jacket,Forest Green,Regular,Waterproof Nylon,Womens,Active,Top,Jacket,Woven,2299,269,618431
2024-04,ST04,Store 4,Bengaluru,Mild weather,BSS260,Bedtime Story Set,Baby Blue,Relax,Cotton,Kids,Lounge,Sets,Pyjama Set,Knit,899,514,462086
2024-08,ST07,Store 7,Hyderabad,Warm semi-arid,MMD777,Midnight Maxi Dress,Navy,Flared,Viscose,Womens,Casual,Top,Dress,Woven,2199,506,1112694
2024-08,ST02,Store 2,Jaipur,"Semi-winter, Festive",CSC332,CityStride Chinos,Stone,Slim,Cotton,Mens,Formal,Bottom,Trousers,Woven,1599,506,809094
2024-09,ST05,Store 5,Kochi,Hot & Humid,SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,414,620586
2024-10,ST07,Store 7,Hyderabad,Warm semi-arid,ULP019,UltraLite Polo,Sky Blue,Regular,Pique Knit,Mens,Casual,Top,T-Shirt,Knit,899,460,413540
2024-12,ST08,Store 8,Pune,"Mild, fashion-forward",HGH112,HeatGuard Hoodie,Black,Oversized,Fleece,Mens,Active,Top,Hoodie,Knit,1899,713,1353987
2024-12,ST10,Store 10,Ahmedabad,Hot & dry,WJS555,Weekend Jog Set,Navy,Relaxed,Cotton Blend,Mens,Lounge,Sets,Tracksuit,Knit,1999,529,1057471
2024-02,ST02,Store 2,Jaipur,"Semi-winter, Festive",SFL909,SparkFest Lehenga Set,Fuchsia,Flared,Silk Blend,Girls,Ethnic,Sets,Lehenga Set,Woven,2799,330,923670
2024-03,ST01,Store 1,Delhi,"Winter-heavy, North",SRS744,Sunset Resort Shirt,Coral,Relaxed,Rayon,Mens,Casual,Top,Shirt,Woven,1299,683,887217
2024-07,ST10,Store 10,Ahmedabad,Hot & dry,RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,683,818917
2024-06,ST04,Store 4,Bengaluru,Mild weather,MRT210,MorningRun Tee,Neon Green,Athletic,Polyester,Mens,Active,Top,T-Shirt,Knit,899,414,372186
2024-07,ST03,Store 3,Mumbai,"Humid, No winter",RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,1334,1599466
2024-11,ST09,Store 9,Kolkata,Humid + festive,BSS260,Bedtime Story Set,Baby Blue,Relax,Cotton,Kids,Lounge,Sets,Pyjama Set,Knit,899,775,696725
2024-11,ST06,Store 6,Chennai,"Hot, Tropical",CSC332,CityStride Chinos,Stone,Slim,Cotton,Mens,Formal,Bottom,Trousers,Woven,1599,468,748332
2024-02,ST03,Store 3,Mumbai,"Humid, No winter",BLK212,BreezeLite Kurta,Teal,Straight,Cotton-Linen,Mens,Ethnic,Top,Kurta,Woven,1599,276,441324
2024-07,ST06,Store 6,Chennai,"Hot, Tropical",MRT210,MorningRun Tee,Neon Green,Athletic,Polyester,Mens,Active,Top,T-Shirt,Knit,899,522,469278
2024-01,ST01,Store 1,Delhi,"Winter-heavy, North",MRT210,MorningRun Tee,Neon Green,Athletic,Polyester,Mens,Active,Top,T-Shirt,Knit,899,491,441409
2024-07,ST04,Store 4,Bengaluru,Mild weather,APJ001,Alpine Puffer Jacket,Navy,Regular,Polyester,Mens,Active,Top,Jacket,Woven,3499,276,965724
2024-03,ST10,Store 10,Ahmedabad,Hot & dry,MSS441,MetroStretch Shirt,White,Slim,Poplin,Mens,Formal,Top,Shirt,Woven,1299,200,259800
2024-03,ST07,Store 7,Hyderabad,Warm semi-arid,BOS120,Boardroom Oxford Shirt,Light Blue,Regular,Oxford Cotton,Mens,Formal,Top,Shirt,Woven,1399,368,514832
2024-05,ST07,Store 7,Hyderabad,Warm semi-arid,HNJ333,Heritage Nehru Jacket,Ivory,Regular,Silk Blend,Mens,Ethnic,Top,Jacket,Woven,2499,330,824670
2024-09,ST03,Store 3,Mumbai,"Humid, No winter",HNJ333,Heritage Nehru Jacket,Ivory,Regular,Silk Blend,Mens,Ethnic,Top,Jacket,Woven,2499,989,2471511
2024-11,ST07,Store 7,Hyderabad,Warm semi-arid,SFL909,SparkFest Lehenga Set,Fuchsia,Flared,Silk Blend,Girls,Ethnic,Sets,Lehenga Set,Woven,2799,345,965655
2024-12,ST03,Store 3,Mumbai,"Humid, No winter",LSK551,LuxeSilk Kurta Set,Maroon,Straight,Silk Blend,Womens,Ethnic,Sets,Kurta Set,Woven,2199,284,624516
2024-02,ST01,Store 1,Delhi,"Winter-heavy, North",TTP665,TrailBlaze Trackpant,Charcoal,Athletic,Poly Knit,Mens,Active,Bottom,Jogger,Knit,1199,468,561132
2024-06,ST01,Store 1,Delhi,"Winter-heavy, North",TFC331,TerraFlex Cargo,Khaki,Relaxed,Twill,Mens,Casual,Bottom,Cargo,Woven,1499,445,667055
2024-09,ST08,Store 8,Pune,"Mild, fashion-forward",CSC332,CityStride Chinos,Stone,Slim,Cotton,Mens,Formal,Bottom,Trousers,Woven,1599,483,772317
2024-07,ST09,Store 9,Kolkata,Humid + festive,UEO543,UrbanEdge Overshirt,Charcoal,Relaxed,Twill,Mens,Casual,Top,Shirt,Woven,1799,345,620655
2024-09,ST04,Store 4,Bengaluru,Mild weather,FSK507,FestiveSpark Kurta,Emerald,Straight,Silk Blend,Mens,Ethnic,Top,Kurta,Woven,1999,713,1425287
2024-06,ST10,Store 10,Ahmedabad,Hot & dry,HNJ333,Heritage Nehru Jacket,Ivory,Regular,Silk Blend,Mens,Ethnic,Top,Jacket,Woven,2499,307,767193
